Text Inputs : Specimen label,"2.104"
General : Start Date,1/28/2011 12:32 PM
General : End Date,1/28/2011 12:34 PM
Maximum Compressive load : Maximum Compressive load,6.87603,kgf
Maximum Compressive load : Compressive stress at Maximum Compressive load,0.72114,MPa

Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00001,-0.02006
0.00180,0.00001,-0.02006
0.10000,0.00001,-0.00306
0.20000,-0.00002,-0.00808
0.30000,-0.00024,-0.00192
0.40000,-0.00049,-0.00046
0.50000,-0.00071,-0.00373
0.60000,-0.00091,-0.00290
0.70000,-0.00109,0.00208
0.80000,-0.00126,-0.00047
0.90000,-0.00143,-0.00519
1.00000,-0.00160,-0.00600
1.10000,-0.00178,-0.00344
1.20000,-0.00194,-0.00119
1.30000,-0.00211,-0.00145
1.40000,-0.00227,-0.00451
1.50000,-0.00244,-0.00234
1.60000,-0.00260,-0.00369
1.70000,-0.00278,-0.00439
1.80000,-0.00294,-0.00278
1.90000,-0.00310,-0.00828
2.00000,-0.00327,-0.00632
2.10000,-0.00344,-0.00428
2.20000,-0.00360,0.00085
2.30000,-0.00377,-0.00297
2.40000,-0.00394,-0.00382
2.50000,-0.00410,-0.00149
2.60000,-0.00426,-0.00193
2.70000,-0.00443,-0.00449
2.80000,-0.00460,-0.00424
2.90000,-0.00476,-0.00652
3.00000,-0.00493,-0.00239
3.10000,-0.00510,-0.00313
3.20000,-0.00527,-0.00028
3.30000,-0.00544,-0.00174
3.40000,-0.00560,-0.00108
3.50000,-0.00577,-0.00164
3.60000,-0.00594,-0.00286
3.70000,-0.00611,-0.00636
3.80000,-0.00627,-0.00719
3.90000,-0.00644,-0.00140
4.00000,-0.00661,-0.00076
4.10000,-0.00678,-0.00569
4.20000,-0.00695,-0.00267
4.30000,-0.00711,-0.00220
4.40000,-0.00728,-0.00279
4.50000,-0.00744,-0.00387
4.60000,-0.00761,-0.00491
4.70000,-0.00778,-0.00434
4.80000,-0.00794,-0.00410
4.90000,-0.00811,-0.00315
5.00000,-0.00827,-0.00474
5.10000,-0.00844,-0.00563
5.20000,-0.00861,0.00072
5.30000,-0.00879,-0.00086
5.40000,-0.00895,-0.00531
5.50000,-0.00912,-0.00889
5.60000,-0.00929,-0.00552
5.70000,-0.00945,0.00071
5.80000,-0.00962,-0.00224
5.90000,-0.00978,0.00176
6.00000,-0.00995,-0.00303
6.10000,-0.01012,-0.00209
6.20000,-0.01028,-0.00295
6.30000,-0.01045,-0.00074
6.40000,-0.01062,-0.00761
6.50000,-0.01079,-0.00326
6.60000,-0.01095,-0.00356
6.70000,-0.01112,-0.00006
6.80000,-0.01128,-0.00160
6.90000,-0.01145,-0.00005
7.00000,-0.01162,-0.00022
7.10000,-0.01179,0.00004
7.20000,-0.01195,-0.00434
7.30000,-0.01212,-0.00604
7.40000,-0.01228,-0.00598
7.50000,-0.01245,-0.00131
7.60000,-0.01262,-0.00195
7.70000,-0.01279,0.00019
7.80000,-0.01296,-0.00443
7.90000,-0.01312,-0.00595
8.00000,-0.01329,-0.00266
8.10000,-0.01346,-0.00271
8.20000,-0.01362,-0.00361
8.30000,-0.01378,-0.00141
8.40000,-0.01395,-0.00687
8.50000,-0.01411,0.00106
8.60000,-0.01428,-0.00289
8.70000,-0.01444,-0.00295
8.80000,-0.01461,-0.00020
8.90000,-0.01478,-0.00424
9.00000,-0.01494,-0.00319
9.10000,-0.01511,-0.00385
9.20000,-0.01528,-0.00473
9.30000,-0.01544,-0.00496
9.40000,-0.01561,-0.00439
9.50000,-0.01578,-0.00341
9.60000,-0.01594,-0.00601
9.70000,-0.01611,-0.00543
9.80000,-0.01627,-0.00104
9.90000,-0.01644,-0.00700
10.00000,-0.01661,-0.00601
10.10000,-0.01677,-0.00455
10.20000,-0.01694,-0.00149
10.30000,-0.01711,-0.00249
10.40000,-0.01727,0.00216
10.50000,-0.01744,-0.00417
10.60000,-0.01761,-0.00450
10.70000,-0.01777,-0.00371
10.80000,-0.01793,-0.00382
10.90000,-0.01810,-0.00375
11.00000,-0.01827,-0.00623
11.10000,-0.01844,-0.00118
11.20000,-0.01860,-0.00107
11.30000,-0.01877,-0.00580
11.40000,-0.01894,-0.00031
11.50000,-0.01911,-0.00415
11.60000,-0.01928,-0.00304
11.70000,-0.01944,-0.00117
11.80000,-0.01961,-0.00704
11.90000,-0.01977,-0.00440
12.00000,-0.01994,-0.00243
