Text Inputs : Specimen label,"2.12"
General : Start Date,1/28/2011 12:51 PM
General : End Date,1/28/2011 12:54 PM
Maximum Compressive load : Maximum Compressive load,6.81255,kgf
Maximum Compressive load : Compressive stress at Maximum Compressive load,0.71448,MPa

Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00007,-0.01372
0.00180,-0.00007,-0.01352
0.10000,-0.00007,0.00082
0.20000,-0.00012,0.00005
0.30000,-0.00026,0.00066
0.40000,-0.00050,0.00004
0.50000,-0.00074,0.00525
0.60000,-0.00096,-0.00310
0.70000,-0.00115,-0.00146
0.80000,-0.00133,-0.00475
0.90000,-0.00150,-0.00394
1.00000,-0.00167,-0.00222
1.10000,-0.00184,0.00193
1.20000,-0.00201,0.00062
1.30000,-0.00217,-0.00036
1.40000,-0.00234,0.00083
1.50000,-0.00251,0.00028
1.60000,-0.00267,-0.00157
1.70000,-0.00284,-0.00589
1.80000,-0.00301,-0.00446
1.90000,-0.00317,-0.00202
2.00000,-0.00334,0.00484
2.10000,-0.00351,-0.00084
2.20000,-0.00368,0.00073
2.30000,-0.00384,-0.00311
2.40000,-0.00401,0.00181
2.50000,-0.00417,-0.00002
2.60000,-0.00433,-0.00656
2.70000,-0.00450,-0.00378
2.80000,-0.00467,-0.00181
2.90000,-0.00484,0.00068
3.00000,-0.00501,-0.00054
3.10000,-0.00518,0.00287
3.20000,-0.00534,0.00199
3.30000,-0.00551,-0.00239
3.40000,-0.00568,-0.00207
3.50000,-0.00585,-0.00367
3.60000,-0.00602,-0.00197
3.70000,-0.00618,-0.00396
3.80000,-0.00635,-0.00068
3.90000,-0.00652,-0.00284
4.00000,-0.00668,-0.00262
4.10000,-0.00686,0.00037
4.20000,-0.00702,0.00313
4.30000,-0.00720,0.00042
4.40000,-0.00737,-0.00503
4.50000,-0.00752,-0.00470
4.60000,-0.00769,-0.00140
4.70000,-0.00786,0.00046
4.80000,-0.00803,-0.00180
4.90000,-0.00820,-0.00071
5.00000,-0.00836,-0.00040
5.10000,-0.00853,-0.00183
5.20000,-0.00870,-0.00396
5.30000,-0.00888,-0.00483
5.40000,-0.00904,-0.00769
5.50000,-0.00921,0.00064
5.60000,-0.00937,0.00166
5.70000,-0.00953,0.00039
5.80000,-0.00971,0.00273
5.90000,-0.00987,0.00270
6.00000,-0.01004,-0.00030
6.10000,-0.01020,-0.00008
6.20000,-0.01036,-0.00273
6.30000,-0.01054,-0.00680
6.40000,-0.01070,-0.00101
6.50000,-0.01087,0.00232
6.60000,-0.01104,-0.00201
6.70000,-0.01120,0.00124
6.80000,-0.01137,-0.00209
6.90000,-0.01153,0.00309
7.00000,-0.01170,-0.00057
7.10000,-0.01186,-0.00603
7.20000,-0.01203,-0.00676
7.30000,-0.01219,-0.00377
7.40000,-0.01236,0.00236
7.50000,-0.01253,-0.00270
7.60000,-0.01269,0.00428
7.70000,-0.01287,0.00146
7.80000,-0.01303,-0.00233
7.90000,-0.01320,-0.00440
8.00000,-0.01336,-0.00633
8.10000,-0.01353,-0.00472
8.20000,-0.01370,-0.00096
8.30000,-0.01386,0.00185
8.40000,-0.01403,-0.00292
8.50000,-0.01419,0.00234
8.60000,-0.01436,-0.00156
8.70000,-0.01452,-0.00034
8.80000,-0.01469,-0.00193
8.90000,-0.01486,-0.00200
9.00000,-0.01502,-0.00560
9.10000,-0.01519,-0.00300
9.20000,-0.01536,0.00159
9.30000,-0.01552,-0.00123
9.40000,-0.01569,-0.00121
9.50000,-0.01585,0.00045
9.60000,-0.01602,0.00144
9.70000,-0.01619,-0.00224
9.80000,-0.01635,-0.00301
9.90000,-0.01652,-0.00583
10.00000,-0.01668,0.00190
10.10000,-0.01685,0.00386
10.20000,-0.01702,0.00110
10.30000,-0.01719,0.00333
10.40000,-0.01735,0.00175
10.50000,-0.01752,-0.00115
10.60000,-0.01768,-0.00089
10.70000,-0.01785,-0.00459
10.80000,-0.01802,-0.00576
10.90000,-0.01818,-0.00169
11.00000,-0.01835,0.00261
11.10000,-0.01852,-0.00062
11.20000,-0.01868,0.00225
11.30000,-0.01886,0.00223
