Text Inputs : Specimen label,"2.116"
General : Start Date,1/28/2011 1:01 PM
General : End Date,1/28/2011 1:03 PM
Maximum Compressive load : Maximum Compressive load,7.74011,kgf
Maximum Compressive load : Compressive stress at Maximum Compressive load,0.81176,MPa

Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00007,-0.01775
0.00180,-0.00007,-0.01748
0.10000,-0.00007,-0.00920
0.20000,-0.00013,-0.00787
0.30000,-0.00029,-0.01229
0.40000,-0.00054,-0.00774
0.50000,-0.00076,-0.00573
0.60000,-0.00097,-0.00858
0.70000,-0.00116,-0.00603
0.80000,-0.00134,-0.00845
0.90000,-0.00150,-0.00790
1.00000,-0.00167,-0.00955
1.10000,-0.00184,-0.00752
1.20000,-0.00202,-0.01187
1.30000,-0.00217,-0.01407
1.40000,-0.00234,-0.00461
1.50000,-0.00251,-0.01050
1.60000,-0.00267,-0.00986
1.70000,-0.00284,-0.01090
1.80000,-0.00301,-0.01041
1.90000,-0.00318,-0.00726
2.00000,-0.00334,-0.00783
2.10000,-0.00351,-0.01090
2.20000,-0.00368,-0.00701
2.30000,-0.00384,-0.00842
2.40000,-0.00401,-0.00426
2.50000,-0.00418,-0.01074
2.60000,-0.00433,-0.00746
2.70000,-0.00450,-0.00676
2.80000,-0.00467,-0.00966
2.90000,-0.00484,-0.00801
3.00000,-0.00501,-0.01399
3.10000,-0.00519,-0.01060
3.20000,-0.00535,-0.00809
3.30000,-0.00551,-0.00666
3.40000,-0.00568,-0.00653
3.50000,-0.00585,-0.01049
3.60000,-0.00602,-0.00432
3.70000,-0.00618,-0.00870
3.80000,-0.00635,-0.01209
3.90000,-0.00653,-0.01372
4.00000,-0.00669,-0.01136
4.10000,-0.00686,-0.00715
4.20000,-0.00703,-0.00448
4.30000,-0.00721,-0.01008
4.40000,-0.00736,-0.00810
4.50000,-0.00753,-0.00505
4.60000,-0.00769,-0.00752
4.70000,-0.00786,-0.01062
4.80000,-0.00803,-0.00932
4.90000,-0.00819,-0.01037
5.00000,-0.00836,-0.00982
5.10000,-0.00853,-0.00658
5.20000,-0.00870,-0.01174
5.30000,-0.00887,-0.00597
5.40000,-0.00904,-0.01026
5.50000,-0.00921,-0.00886
5.60000,-0.00938,-0.00918
5.70000,-0.00953,-0.01178
5.80000,-0.00971,-0.01009
5.90000,-0.00987,-0.00645
6.00000,-0.01004,-0.00699
6.10000,-0.01020,-0.01054
6.20000,-0.01037,-0.00438
6.30000,-0.01053,-0.00778
6.40000,-0.01070,-0.01237
6.50000,-0.01087,-0.01216
6.60000,-0.01103,-0.01116
6.70000,-0.01120,-0.00818
6.80000,-0.01137,-0.00716
6.90000,-0.01153,-0.00742
7.00000,-0.01170,-0.00831
7.10000,-0.01186,-0.00846
7.20000,-0.01203,-0.00573
7.30000,-0.01220,-0.01016
7.40000,-0.01236,-0.01056
7.50000,-0.01253,-0.01015
7.60000,-0.01270,-0.00894
7.70000,-0.01287,-0.00543
7.80000,-0.01303,-0.00558
7.90000,-0.01320,-0.00769
8.00000,-0.01337,-0.00995
8.10000,-0.01353,-0.00611
8.20000,-0.01370,-0.00685
8.30000,-0.01386,-0.01257
8.40000,-0.01403,-0.01221
8.50000,-0.01419,-0.00827
8.60000,-0.01435,-0.00708
8.70000,-0.01452,-0.00862
8.80000,-0.01468,-0.01025
8.90000,-0.01485,-0.00824
9.00000,-0.01502,-0.00978
9.10000,-0.01519,-0.01150
9.20000,-0.01535,-0.01205
9.30000,-0.01552,-0.01171
9.40000,-0.01569,-0.00714
9.50000,-0.01585,-0.00463
9.60000,-0.01602,-0.00711
9.70000,-0.01618,-0.00971
9.80000,-0.01635,-0.00944
9.90000,-0.01652,-0.00857
10.00000,-0.01668,-0.00978
10.10000,-0.01685,-0.01142
10.20000,-0.01702,-0.01381
10.30000,-0.01719,-0.01043
10.40000,-0.01736,-0.00494
10.50000,-0.01752,-0.00739
10.60000,-0.01769,-0.00817
10.70000,-0.01785,-0.01049
10.80000,-0.01802,-0.00739
10.90000,-0.01818,-0.01012
11.00000,-0.01835,-0.01123
11.10000,-0.01852,-0.01494
11.20000,-0.01868,-0.01167
11.30000,-0.01886,-0.00645
11.40000,-0.01902,-0.00739
11.50000,-0.01919,-0.00748
11.60000,-0.01935,-0.00705
11.70000,-0.01952,-0.00787
11.80000,-0.01969,-0.00741
11.90000,-0.01985,-0.00970
12.00000,-0.02002,-0.00928
12.10000,-0.02018,-0.00957
12.20000,-0.02035,-0.00605
12.30000,-0.02052,-0.00772
12.40000,-0.02069,-0.00708
12.50000,-0.02086,-0.00641
12.60000,-0.02102,-0.00745
12.70000,-0.02119,-0.01082
12.80000,-0.02135,-0.01298
12.90000,-0.02152,-0.01158
13.00000,-0.02168,-0.00920
13.10000,-0.02185,-0.00492
13.20000,-0.02202,-0.00903
13.30000,-0.02218,-0.00746
13.40000,-0.02235,-0.00955
13.50000,-0.02252,-0.00636
13.60000,-0.02268,-0.00665
13.70000,-0.02286,-0.01014
13.80000,-0.02302,-0.00953
13.90000,-0.02319,-0.00743
14.00000,-0.02336,-0.01120
14.10000,-0.02352,-0.00542
14.20000,-0.02369,-0.00818
14.30000,-0.02385,-0.00676
14.40000,-0.02402,-0.00744
14.50000,-0.02419,-0.00894
14.60000,-0.02436,-0.01088
14.70000,-0.02452,-0.01365
14.80000,-0.02469,-0.00702
14.90000,-0.02486,-0.00520
15.00000,-0.02503,-0.00672
15.10000,-0.02520,-0.00919
15.20000,-0.02536,-0.00800
15.30000,-0.02553,-0.00557
15.40000,-0.02569,-0.01006
15.50000,-0.02586,-0.01018
15.60000,-0.02602,-0.01004
15.70000,-0.02619,-0.00718
15.80000,-0.02636,-0.00803
15.90000,-0.02652,-0.00472
16.00000,-0.02669,-0.00910
16.10000,-0.02686,-0.00682
16.20000,-0.02703,-0.00427
