Text Inputs : Specimen label,"2.116"
General : Start Date,1/28/2011 1:01 PM
General : End Date,1/28/2011 1:03 PM
16.30000,-0.02720,-0.00913
16.40000,-0.02736,-0.01040
16.50000,-0.02753,-0.01228
16.60000,-0.02769,-0.00773
16.70000,-0.02785,-0.00557
16.80000,-0.02802,-0.00801
16.90000,-0.02818,-0.00732
17.00000,-0.02835,-0.00706
17.10000,-0.02852,-0.00480
17.20000,-0.02869,-0.00749
17.30000,-0.02886,-0.00911
17.40000,-0.02902,-0.01413
17.50000,-0.02920,-0.00852
17.60000,-0.02936,-0.00487
17.70000,-0.02953,-0.00488
17.80000,-0.02969,-0.00920
17.90000,-0.02986,-0.00864
18.00000,-0.03002,-0.00770
18.10000,-0.03019,-0.00720
18.20000,-0.03036,-0.01308
18.30000,-0.03052,-0.00791
18.40000,-0.03069,-0.00940
18.50000,-0.03086,-0.00345
18.60000,-0.03103,-0.00659
18.70000,-0.03120,-0.00747
18.80000,-0.03136,-0.00666
18.90000,-0.03152,-0.00638
19.00000,-0.03169,-0.00512
19.10000,-0.03185,-0.00926
19.20000,-0.03202,-0.01140
19.30000,-0.03218,-0.00742
19.40000,-0.03235,-0.00623
19.50000,-0.03251,-0.00482
19.60000,-0.03268,-0.00672
19.70000,-0.03285,-0.00684
19.80000,-0.03302,-0.00556
19.90000,-0.03319,-0.00966
20.00000,-0.03335,-0.00967
20.10000,-0.03352,-0.00990
20.20000,-0.03369,-0.00697
20.30000,-0.03385,-0.00656
20.40000,-0.03402,-0.00546
20.50000,-0.03418,-0.00762
20.60000,-0.03435,-0.00678
20.70000,-0.03451,-0.00467
20.80000,-0.03468,-0.00921
20.90000,-0.03485,-0.01478
21.00000,-0.03502,-0.00640
21.10000,-0.03519,-0.00747
21.20000,-0.03535,-0.00784
21.30000,-0.03552,-0.00868
21.40000,-0.03568,-0.00545
21.50000,-0.03585,-0.00309
21.60000,-0.03602,-0.00959
21.70000,-0.03618,-0.00644
21.80000,-0.03635,-0.01289
21.90000,-0.03651,-0.01059
22.00000,-0.03668,-0.00391
22.10000,-0.03685,-0.00639
22.20000,-0.03702,-0.01038
22.30000,-0.03719,-0.00472
22.40000,-0.03735,-0.00431
22.50000,-0.03752,-0.00695
22.60000,-0.03768,-0.00789
22.70000,-0.03784,-0.00898
22.80000,-0.03802,-0.00961
22.90000,-0.03818,-0.00595
23.00000,-0.03835,-0.00654
23.10000,-0.03852,-0.00402
23.20000,-0.03869,-0.01022
23.30000,-0.03886,-0.00568
23.40000,-0.03902,-0.00302
23.50000,-0.03920,-0.00826
23.60000,-0.03936,-0.00981
23.70000,-0.03953,-0.01023
23.80000,-0.03969,-0.00870
23.90000,-0.03986,-0.00444
24.00000,-0.04002,-0.00843
24.10000,-0.04018,-0.00496
24.20000,-0.04036,-0.00621
24.30000,-0.04052,-0.00574
24.40000,-0.04069,-0.00573
24.50000,-0.04086,-0.01357
24.60000,-0.04102,-0.00846
24.70000,-0.04119,-0.00691
24.80000,-0.04135,-0.00503
24.90000,-0.04152,-0.00452
25.00000,-0.04169,-0.00500
25.10000,-0.04185,-0.00564
25.20000,-0.04202,-0.00452
25.30000,-0.04218,-0.00933
25.40000,-0.04235,-0.01227
25.50000,-0.04252,-0.00433
25.60000,-0.04269,-0.00604
25.70000,-0.04286,-0.00923
25.80000,-0.04302,-0.00840
25.90000,-0.04319,-0.00946
26.00000,-0.04335,-0.00867
26.10000,-0.04352,-0.00687
26.20000,-0.04369,-0.00950
26.30000,-0.04385,-0.01252
26.40000,-0.04402,-0.01024
26.50000,-0.04418,-0.00402
26.60000,-0.04435,-0.00666
26.70000,-0.04451,-0.00732
26.80000,-0.04469,-0.00428
26.90000,-0.04485,-0.00350
27.00000,-0.04502,-0.00677
27.10000,-0.04519,-0.00408
27.20000,-0.04535,-0.01219
27.30000,-0.04552,-0.00936
27.40000,-0.04569,-0.00467
27.50000,-0.04585,-0.00706
27.60000,-0.04602,-0.00257
27.70000,-0.04618,-0.00828
27.80000,-0.04636,-0.00651
27.90000,-0.04652,-0.00753
28.00000,-0.04669,-0.00885
28.10000,-0.04686,-0.01091
28.20000,-0.04702,-0.00820
28.30000,-0.04719,-0.00450
28.40000,-0.04735,-0.00516
28.50000,-0.04752,-0.00351
28.60000,-0.04769,-0.00673
28.70000,-0.04785,-0.00393
28.80000,-0.04802,-0.00299
28.90000,-0.04818,-0.00658
29.00000,-0.04835,-0.00855
29.10000,-0.04851,-0.00983
29.20000,-0.04868,-0.00693
29.30000,-0.04885,-0.00756
29.40000,-0.04902,-0.00643
29.50000,-0.04919,-0.00654
29.60000,-0.04935,-0.00334
29.70000,-0.04952,-0.00567
29.80000,-0.04968,-0.00552
29.90000,-0.04985,-0.00879
30.00000,-0.05002,-0.00674
30.10000,-0.05018,-0.00725
30.20000,-0.05035,-0.00577
30.30000,-0.05051,-0.00440
30.40000,-0.05069,-0.00742
30.50000,-0.05085,-0.00482
30.60000,-0.05102,-0.00598
30.70000,-0.05119,-0.00623
30.80000,-0.05135,-0.01391
30.90000,-0.05152,-0.00565
31.00000,-0.05168,-0.00321
31.10000,-0.05185,-0.00664
31.20000,-0.05201,-0.00609
31.30000,-0.05218,-0.00984
31.40000,-0.05235,-0.00441
31.50000,-0.05251,-0.00536
31.60000,-0.05268,-0.00756
31.70000,-0.05285,-0.00770
31.80000,-0.05301,-0.01066
31.90000,-0.05319,-0.00415
32.00000,-0.05335,-0.00555
32.10000,-0.05352,-0.00298
32.20000,-0.05369,-0.00934
32.30000,-0.05386,-0.00445
32.40000,-0.05402,-0.00427
32.50000,-0.05418,-0.00856
32.60000,-0.05435,-0.00972
32.70000,-0.05451,-0.00886
32.80000,-0.05469,-0.00441
32.90000,-0.05486,-0.00174
33.00000,-0.05503,-0.00734
33.10000,-0.05518,-0.00420
33.20000,-0.05535,-0.00661
33.30000,-0.05552,-0.00304
33.40000,-0.05568,-0.00993
33.50000,-0.05586,-0.00747
33.60000,-0.05602,-0.00679
33.70000,-0.05618,-0.00691
33.80000,-0.05636,-0.00432
33.90000,-0.05652,-0.00415
34.00000,-0.05668,-0.00536
34.10000,-0.05685,-0.00537
34.20000,-0.05702,-0.00690
34.30000,-0.05719,-0.00662
34.40000,-0.05735,-0.00980
34.50000,-0.05752,-0.00642
34.60000,-0.05769,-0.00359
34.70000,-0.05786,-0.00471
34.80000,-0.05802,-0.00628
34.90000,-0.05818,-0.00758
35.00000,-0.05835,-0.00219
35.10000,-0.05852,-0.00485
35.20000,-0.05869,-0.00687
35.30000,-0.05886,-0.00668
35.40000,-0.05903,-0.00822
35.50000,-0.05919,-0.00485
35.60000,-0.05935,-0.00653
35.70000,-0.05953,-0.00663
35.80000,-0.05969,-0.00199
35.90000,-0.05986,-0.00878
36.00000,-0.06003,-0.00375
36.10000,-0.06019,-0.00907
36.20000,-0.06036,-0.00744
36.30000,-0.06053,-0.00788
36.40000,-0.06069,-0.00390
36.50000,-0.06086,-0.00673
36.60000,-0.06103,-0.00848
36.70000,-0.06119,-0.00438
36.80000,-0.06135,-0.00494
36.90000,-0.06152,-0.00460
37.00000,-0.06169,-0.00649
37.10000,-0.06186,-0.01134
37.20000,-0.06202,-0.00299
37.30000,-0.06219,-0.00578
37.40000,-0.06235,-0.00189
37.50000,-0.06252,-0.00593
37.60000,-0.06269,-0.00374
37.70000,-0.06287,-0.00665
37.80000,-0.06303,-0.00559
37.90000,-0.06320,-0.00752
38.00000,-0.06336,-0.00888
38.10000,-0.06352,-0.00763
38.20000,-0.06369,-0.00373
38.30000,-0.06386,-0.00531
38.40000,-0.06402,-0.00350
38.50000,-0.06418,-0.00994
38.60000,-0.06435,-0.00496
38.70000,-0.06451,-0.00776
38.80000,-0.06469,-0.00927
38.90000,-0.06485,-0.00823
39.00000,-0.06503,-0.00749
39.10000,-0.06519,-0.00530
39.20000,-0.06535,-0.00507
39.30000,-0.06552,-0.00254
39.40000,-0.06569,-0.00872
39.50000,-0.06585,-0.00787
39.60000,-0.06601,-0.00646
39.70000,-0.06618,-0.00998
39.80000,-0.06635,-0.00939
39.90000,-0.06651,-0.00898
40.00000,-0.06668,-0.00371
40.10000,-0.06686,-0.00676
40.20000,-0.06703,-0.00572
40.30000,-0.06719,-0.00865
40.40000,-0.06735,-0.00248
40.50000,-0.06752,-0.00651
40.60000,-0.06769,-0.00587
40.70000,-0.06785,-0.01252
40.80000,-0.06802,-0.01001
40.90000,-0.06818,-0.00469
41.00000,-0.06835,-0.00304
41.10000,-0.06852,-0.00618
41.20000,-0.06868,-0.00248
41.30000,-0.06884,-0.00256
41.40000,-0.06902,-0.00697
41.50000,-0.06919,-0.00497
41.60000,-0.06935,-0.01054
41.70000,-0.06952,-0.00584
41.80000,-0.06969,-0.00377
41.90000,-0.06985,-0.00286
42.00000,-0.07001,-0.00253
42.10000,-0.07018,-0.00733
42.20000,-0.07035,-0.00207
42.30000,-0.07051,-0.00556
42.40000,-0.07069,-0.00448
42.50000,-0.07085,-0.00989
42.60000,-0.07102,-0.00787
42.70000,-0.07118,-0.00361
42.80000,-0.07134,-0.00340
42.90000,-0.07152,-0.00116
43.00000,-0.07168,-0.00440
43.10000,-0.07185,-0.00068
43.20000,-0.07202,-0.00622
43.30000,-0.07218,-0.00951
43.40000,-0.07235,-0.01045
43.50000,-0.07251,-0.00836
43.60000,-0.07269,-0.00297
43.70000,-0.07285,-0.00561
43.80000,-0.07303,-0.00341
43.90000,-0.07319,-0.00389
44.00000,-0.07335,-0.00311
44.10000,-0.07352,-0.00455
44.20000,-0.07368,-0.00667
44.30000,-0.07386,-0.01188
44.40000,-0.07402,-0.00530
44.50000,-0.07418,-0.00481
44.60000,-0.07435,-0.00439
44.70000,-0.07452,-0.00010
44.80000,-0.07469,-0.00490
44.90000,-0.07486,-0.00128
45.00000,-0.07503,-0.00560
45.10000,-0.07519,-0.00429
45.20000,-0.07536,-0.00925
45.30000,-0.07552,-0.00573
45.40000,-0.07568,-0.00629
45.50000,-0.07586,-0.00344
45.60000,-0.07602,-0.00387
45.70000,-0.07619,-0.00348
45.80000,-0.07635,-0.00298
45.90000,-0.07651,-0.00642
46.00000,-0.07669,-0.00837
46.10000,-0.07685,-0.00888
46.20000,-0.07702,-0.00648
46.30000,-0.07719,-0.00522
46.40000,-0.07735,-0.00274
46.50000,-0.07752,-0.00532
46.60000,-0.07768,-0.00445
46.70000,-0.07786,-0.00306
46.80000,-0.07801,-0.00349
46.90000,-0.07818,-0.00559
47.00000,-0.07835,-0.01067
47.10000,-0.07852,-0.00323
47.20000,-0.07869,-0.00651
47.30000,-0.07886,-0.00188
47.40000,-0.07903,-0.00584
47.50000,-0.07920,-0.00396
47.60000,-0.07936,-0.00294
47.70000,-0.07952,-0.00733
47.80000,-0.07969,-0.00762
47.90000,-0.07986,-0.01130
48.00000,-0.08000,-0.00903
48.10000,-0.08019,-0.00370
48.20000,-0.08035,-0.00441
48.30000,-0.08052,-0.00395
48.40000,-0.08067,-0.00457
48.50000,-0.08085,-0.00092
48.60000,-0.08102,-0.00504
48.70000,-0.08118,-0.00799
48.80000,-0.08135,-0.01020
48.90000,-0.08152,-0.00502
49.00000,-0.08168,-0.00479
49.10000,-0.08185,-0.00326
49.20000,-0.08201,-0.00152
49.30000,-0.08218,-0.00350
49.40000,-0.08235,-0.00411
49.50000,-0.08250,-0.00656
49.60000,-0.08269,-0.00923
49.70000,-0.08285,-0.01293
49.80000,-0.08302,-0.00671
49.90000,-0.08318,-0.00334
50.00000,-0.08334,-0.00236
50.10000,-0.08352,-0.00542
50.20000,-0.08368,-0.00134
50.30000,-0.08386,-0.00411
50.40000,-0.08401,-0.00787
50.50000,-0.08418,-0.00721
50.60000,-0.08434,-0.01248
50.70000,-0.08451,-0.00861
50.80000,-0.08468,-0.00302
50.90000,-0.08484,-0.00395
51.00000,-0.08501,-0.00175
51.10000,-0.08518,-0.00371
51.20000,-0.08535,-0.00449
51.30000,-0.08552,-0.00592
51.40000,-0.08568,-0.00773
51.50000,-0.08585,-0.01003
51.60000,-0.08601,-0.00891
51.70000,-0.08619,-0.00564
51.80000,-0.08633,-0.00331
51.90000,-0.08650,-0.00499
52.00000,-0.08667,-0.00785
52.10000,-0.08685,-0.00634
52.20000,-0.08702,-0.00298
52.30000,-0.08719,-0.01014
52.40000,-0.08736,-0.01020
52.50000,-0.08752,-0.00341
52.60000,-0.08768,-0.00473
52.70000,-0.08785,-0.00325
52.80000,-0.08801,-0.00085
52.90000,-0.08818,0.00173
53.00000,-0.08834,-0.00506
53.10000,-0.08851,-0.00626
53.20000,-0.08869,-0.00829
53.30000,-0.08885,-0.00965
53.40000,-0.08902,-0.00411
53.50000,-0.08918,-0.00051
53.60000,-0.08935,-0.00493
53.70000,-0.08953,-0.00043
53.80000,-0.08968,0.00000
53.90000,-0.08985,-0.00382
54.00000,-0.09001,-0.01039
54.10000,-0.09019,-0.01092
54.20000,-0.09035,-0.00917
54.30000,-0.09051,-0.00780
54.40000,-0.09069,-0.00415
54.50000,-0.09085,-0.00525
54.60000,-0.09102,-0.00461
54.70000,-0.09117,-0.00429
54.80000,-0.09136,-0.00437
54.90000,-0.09152,-0.00626
55.00000,-0.09169,-0.00949
55.10000,-0.09185,-0.01013
55.20000,-0.09202,-0.00462
55.30000,-0.09218,-0.00215
55.40000,-0.09234,-0.00200
55.50000,-0.09252,-0.00358
55.60000,-0.09269,-0.00092
55.70000,-0.09285,-0.00385
55.80000,-0.09302,-0.00333
55.90000,-0.09319,-0.00776
56.00000,-0.09336,-0.01336
56.10000,-0.09352,-0.00682
56.20000,-0.09369,-0.00426
56.30000,-0.09386,-0.00285
56.40000,-0.09402,-0.00076
56.50000,-0.09419,-0.00148
56.60000,-0.09435,-0.00281
56.70000,-0.09452,-0.00427
56.80000,-0.09469,-0.00725
56.90000,-0.09486,-0.01215
57.00000,-0.09503,-0.00868
57.10000,-0.09519,-0.00453
57.20000,-0.09536,-0.00316
57.30000,-0.09552,-0.00297
57.40000,-0.09569,-0.00134
57.50000,-0.09585,-0.00382
57.60000,-0.09601,-0.00700
57.70000,-0.09618,-0.01135
57.80000,-0.09635,-0.01065
57.90000,-0.09652,-0.00788
58.00000,-0.09668,-0.00269
58.10000,-0.09685,-0.00196
58.20000,-0.09703,-0.00098
58.30000,-0.09719,-0.00665
58.40000,-0.09735,-0.00058
58.50000,-0.09752,-0.00602
58.60000,-0.09769,-0.00673
58.70000,-0.09786,-0.01014
58.80000,-0.09802,-0.00433
58.90000,-0.09818,-0.00495
59.00000,-0.09835,-0.00375
59.10000,-0.09852,-0.00107
59.20000,-0.09869,-0.00297
59.30000,-0.09886,-0.00493
59.40000,-0.09903,-0.00188
59.50000,-0.09919,-0.00762
59.60000,-0.09936,-0.01040
59.70000,-0.09953,-0.00420
59.80000,-0.09969,-0.00179
59.90000,-0.09985,-0.00534
60.00000,-0.10002,-0.00370
60.10000,-0.10018,-0.00500
60.20000,-0.10034,-0.00420
60.30000,-0.10051,-0.00448
60.40000,-0.10068,-0.00624
60.50000,-0.10085,-0.00983
60.60000,-0.10102,-0.00302
60.70000,-0.10118,-0.00256
60.80000,-0.10136,-0.00189
60.90000,-0.10152,-0.00388
61.00000,-0.10169,-0.00405
61.10000,-0.10185,-0.00201
61.20000,-0.10201,-0.00355
61.30000,-0.10218,-0.01082
61.40000,-0.10235,-0.01040
61.50000,-0.10252,-0.00649
61.60000,-0.10269,-0.00398
61.70000,-0.10286,-0.00422
61.80000,-0.10302,-0.00247
61.90000,-0.10319,-0.00099
62.00000,-0.10335,-0.00503
62.10000,-0.10352,-0.00372
62.20000,-0.10369,-0.00931
62.30000,-0.10385,-0.01095
62.40000,-0.10401,-0.00148
62.50000,-0.10418,-0.00128
62.60000,-0.10434,-0.00118
62.70000,-0.10451,-0.00593
62.80000,-0.10468,-0.00443
62.90000,-0.10485,-0.00120
63.00000,-0.10502,-0.00168
63.10000,-0.10518,-0.00935
63.20000,-0.10536,-0.01169
63.30000,-0.10552,-0.00420
63.40000,-0.10569,-0.00253
63.50000,-0.10585,-0.00272
63.60000,-0.10601,-0.00175
63.70000,-0.10619,-0.00155
63.80000,-0.10635,-0.00144
63.90000,-0.10652,-0.00466
64.00000,-0.10668,-0.00562
64.10000,-0.10685,-0.00803
64.20000,-0.10702,-0.00463
64.30000,-0.10719,-0.00128
64.40000,-0.10736,-0.00593
64.50000,-0.10752,0.00124
64.60000,-0.10769,-0.00174
64.70000,-0.10785,-0.00318
64.80000,-0.10802,-0.00246
64.90000,-0.10818,-0.00752
65.00000,-0.10834,-0.00738
65.10000,-0.10852,-0.00375
65.20000,-0.10868,-0.00187
65.30000,-0.10885,0.00057
65.40000,-0.10902,-0.00209
65.50000,-0.10918,-0.00049
65.60000,-0.10936,-0.00236
65.70000,-0.10953,-0.00350
65.79999,-0.10969,-0.00709
65.90000,-0.10985,-0.00717
66.00000,-0.11002,-0.00408
66.10000,-0.11018,-0.00173
66.20000,-0.11035,-0.00308
66.29999,-0.11052,-0.00307
66.40000,-0.11069,-0.00180
66.50000,-0.11086,-0.00099
66.60000,-0.11102,-0.00586
66.70000,-0.11119,-0.00761
66.79999,-0.11136,-0.01000
66.90000,-0.11152,-0.00354
67.00000,-0.11169,0.00001
67.10000,-0.11185,-0.00363
67.20000,-0.11202,-0.00166
67.29999,-0.11218,-0.00282
67.40000,-0.11235,-0.00015
67.50000,-0.11252,-0.00051
67.60000,-0.11269,-0.00512
67.70000,-0.11286,-0.00825
67.79999,-0.11303,-0.00329
67.90000,-0.11319,-0.00171
68.00000,-0.11335,-0.00354
68.10000,-0.11352,0.00224
68.20000,-0.11368,0.00002
68.29999,-0.11384,-0.00276
68.40000,-0.11401,-0.00133
68.50000,-0.11418,-0.01085
68.60000,-0.11434,-0.00642
68.70000,-0.11451,-0.00279
68.79999,-0.11468,-0.00438
68.90000,-0.11485,-0.00246
69.00000,-0.11502,0.00159
69.10000,-0.11519,-0.00327
69.20000,-0.11536,-0.00208
69.29999,-0.11551,-0.00089
69.40000,-0.11569,-0.00970
69.50000,-0.11585,-0.00421
69.60000,-0.11601,0.00050
69.70000,-0.11618,-0.00402
69.79999,-0.11634,-0.00463
69.90000,-0.11651,0.00130
70.00000,-0.11667,0.00011
70.10000,-0.11685,0.00216
70.20000,-0.11701,-0.00153
70.29999,-0.11718,-0.00930
70.40000,-0.11734,-0.00667
70.50000,-0.11751,-0.00091
70.60000,-0.11768,0.00160
70.70000,-0.11784,-0.00331
70.79999,-0.11801,0.00277
70.90000,-0.11817,-0.00115
71.00000,-0.11833,-0.00085
71.10000,-0.11850,0.00017
71.20000,-0.11867,-0.01147
71.29999,-0.11885,-0.00336
71.40000,-0.11901,0.00039
71.50000,-0.11918,-0.00337
71.60000,-0.11935,-0.00217
71.70000,-0.11951,0.00039
71.79999,-0.11968,-0.00116
71.90000,-0.11984,-0.00014
72.00000,-0.12001,-0.00086
72.10000,-0.12018,-0.01011
72.20000,-0.12033,-0.00511
72.29999,-0.12050,-0.00551
72.40000,-0.12067,-0.00371
72.50000,-0.12084,-0.00359
72.60000,-0.12101,0.00027
72.70000,-0.12118,-0.00136
72.79999,-0.12135,-0.00051
72.90000,-0.12151,-0.00396
73.00000,-0.12168,-0.00607
73.10000,-0.12185,-0.00568
73.20000,-0.12201,-0.00086
73.29999,-0.12217,-0.00324
73.40000,-0.12234,-0.00127
73.50000,-0.12251,0.00062
73.60000,-0.12268,0.00135
73.70000,-0.12285,0.00232
73.79999,-0.12302,-0.00262
73.90000,-0.12318,-0.00804
74.00000,-0.12335,-0.00258
74.10000,-0.12351,-0.00192
74.20000,-0.12369,-0.00136
74.29999,-0.12384,-0.00200
74.40000,-0.12401,0.00050
74.50000,-0.12417,0.00030
74.60000,-0.12434,-0.00517
74.70000,-0.12451,-0.00328
74.79999,-0.12468,-0.00762
74.90000,-0.12485,-0.00334
75.00000,-0.12502,-0.00281
75.10000,-0.12518,-0.00121
75.20000,-0.12535,-0.00329
75.29999,-0.12551,-0.00096
75.40000,-0.12568,-0.00010
75.50000,-0.12585,-0.00403
75.60000,-0.12602,-0.00101
75.70000,-0.12618,-0.00696
75.79999,-0.12634,-0.00260
75.90000,-0.12651,-0.00084
76.00000,-0.12668,-0.00050
76.10000,-0.12685,-0.00384
76.20000,-0.12701,0.00016
76.29999,-0.12718,0.00261
76.40000,-0.12735,-0.00001
76.50000,-0.12751,-0.00333
76.60000,-0.12769,-0.00465
76.70000,-0.12785,-0.00523
76.79999,-0.12802,-0.00063
76.90000,-0.12817,-0.00237
77.00000,-0.12834,-0.00238
77.10000,-0.12851,0.00042
77.20000,-0.12868,-0.00204
77.29999,-0.12885,-0.00086
77.40000,-0.12902,-0.00293
77.50000,-0.12919,-0.00368
77.60000,-0.12936,-0.00406
77.70000,-0.12951,0.00026
77.79999,-0.12968,-0.00145
77.90000,-0.12985,-0.00123
78.00000,-0.13001,0.00228
78.10000,-0.13018,-0.00259
78.20000,-0.13034,-0.00071
78.29999,-0.13051,-0.00091
78.40000,-0.13068,-0.00564
78.50000,-0.13085,-0.00318
78.60000,-0.13102,0.00205
78.70000,-0.13118,-0.00061
78.79999,-0.13135,-0.00103
78.90000,-0.13151,0.00157
79.00000,-0.13168,-0.00211
79.10000,-0.13185,0.00299
79.20000,-0.13202,-0.00308
79.29999,-0.13218,-0.00453
79.40000,-0.13234,-0.00084
79.50000,-0.13251,0.00068
79.60000,-0.13268,0.00009
79.70000,-0.13285,-0.00142
79.79999,-0.13302,-0.00119
79.90000,-0.13319,-0.00086
80.00000,-0.13335,0.00173
80.10000,-0.13351,-0.00462
80.20000,-0.13368,-0.00309
80.29999,-0.13385,-0.00188
80.40000,-0.13401,0.00042
80.50000,-0.13417,-0.00212
80.60000,-0.13434,0.00057
80.70000,-0.13451,0.00334
80.79999,-0.13468,-0.00231
80.90000,-0.13485,0.00096
81.00000,-0.13501,-0.00266
81.10000,-0.13518,-0.00164
