Text Inputs : Specimen label,"2.165"
General : Start Date,1/28/2011 12:46 PM
General : End Date,1/28/2011 12:48 PM
Maximum Compressive load : Maximum Compressive load,9.57026,kgf
Maximum Compressive load : Compressive stress at Maximum Compressive load,1.00370,MPa

Time,Extension,Load
(sec),(mm),(N)
18.10000,-0.03018,-0.00196
18.20000,-0.03036,0.00217
18.30000,-0.03052,-0.00430
18.40000,-0.03069,-0.00071
18.50000,-0.03086,-0.00266
18.60000,-0.03102,-0.00082
18.70000,-0.03119,-0.00020
18.80000,-0.03135,-0.00392
18.90000,-0.03152,-0.00805
19.00000,-0.03169,-0.00594
19.10000,-0.03185,0.00047
19.20000,-0.03202,-0.00390
19.30000,-0.03218,-0.00446
19.40000,-0.03235,-0.00147
19.50000,-0.03251,-0.00384
19.60000,-0.03268,0.00225
19.70000,-0.03285,-0.00632
19.80000,-0.03302,-0.00304
19.90000,-0.03319,-0.00157
20.00000,-0.03335,-0.00278
20.10000,-0.03352,-0.00216
20.20000,-0.03369,-0.00083
20.30000,-0.03385,-0.00176
20.40000,-0.03402,-0.00091
20.50000,-0.03418,0.00180
20.60000,-0.03435,-0.00489
20.70000,-0.03451,-0.00356
20.80000,-0.03468,-0.00208
20.90000,-0.03485,-0.00622
21.00000,-0.03501,-0.00134
21.10000,-0.03519,0.00099
21.20000,-0.03535,-0.00258
21.30000,-0.03552,-0.00428
21.40000,-0.03569,-0.00011
21.50000,-0.03585,-0.00386
21.60000,-0.03602,-0.00333
21.70000,-0.03618,-0.00237
21.80000,-0.03635,0.00319
21.90000,-0.03651,-0.00350
22.00000,-0.03668,0.00193
22.10000,-0.03685,-0.00044
22.20000,-0.03701,-0.00240
22.30000,-0.03719,-0.00077
22.40000,-0.03735,-0.00268
22.50000,-0.03752,-0.00362
22.60000,-0.03768,-0.00082
22.70000,-0.03785,0.00093
22.80000,-0.03802,-0.00091
22.90000,-0.03818,-0.00253
23.00000,-0.03835,-0.00223
23.10000,-0.03852,-0.00032
23.20000,-0.03869,0.00031
23.30000,-0.03886,-0.00301
23.40000,-0.03902,-0.00441
23.50000,-0.03920,0.00023
23.60000,-0.03936,0.00017
23.70000,-0.03953,-0.00224
23.80000,-0.03969,-0.00012
23.90000,-0.03986,-0.00260
24.00000,-0.04002,0.00024
24.10000,-0.04018,-0.00158
24.20000,-0.04035,-0.00282
24.30000,-0.04052,-0.00368
24.40000,-0.04069,-0.00037
24.50000,-0.04085,-0.00164
24.60000,-0.04102,-0.00382
24.70000,-0.04119,-0.00229
24.80000,-0.04135,-0.00333
24.90000,-0.04152,-0.00233
25.00000,-0.04169,-0.00086
25.10000,-0.04185,-0.00603
25.20000,-0.04202,-0.00267
25.30000,-0.04218,-0.00098
25.40000,-0.04235,-0.00180
25.50000,-0.04252,-0.00175
25.60000,-0.04269,0.00041
25.70000,-0.04286,0.00377
25.80000,-0.04302,0.00085
25.90000,-0.04319,-0.00124
26.00000,-0.04335,-0.00318
26.10000,-0.04352,-0.00497
26.20000,-0.04369,-0.00147
26.30000,-0.04385,0.00004
26.40000,-0.04402,0.00051
26.50000,-0.04418,0.00037
26.60000,-0.04435,-0.00525
26.70000,-0.04451,0.00085
26.80000,-0.04469,-0.00247
