Text Inputs : Specimen label,"2.125"
General : Start Date,1/28/2011 12:57 PM
General : End Date,1/28/2011 12:59 PM
Maximum Compressive load : Maximum Compressive load,7.39359,kgf
Maximum Compressive load : Compressive stress at Maximum Compressive load,0.77542,MPa

Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00007,-0.01565
0.00180,-0.00007,-0.01568
0.10000,-0.00007,-0.00244
0.20000,-0.00013,-0.00474
0.30000,-0.00028,-0.00559
0.40000,-0.00052,0.00037
0.50000,-0.00075,0.00090
0.60000,-0.00097,-0.00221
0.70000,-0.00115,-0.00552
0.80000,-0.00133,-0.00017
0.90000,-0.00150,-0.00254
1.00000,-0.00169,-0.00310
1.10000,-0.00185,-0.00721
1.20000,-0.00201,-0.00397
1.30000,-0.00218,-0.00190
1.40000,-0.00234,-0.00283
1.50000,-0.00251,-0.00517
1.60000,-0.00267,0.00057
1.70000,-0.00284,-0.00052
1.80000,-0.00300,-0.00394
1.90000,-0.00318,-0.00142
2.00000,-0.00335,-0.00740
2.10000,-0.00351,-0.00496
2.20000,-0.00368,-0.00006
2.30000,-0.00384,-0.00323
2.40000,-0.00401,-0.00156
2.50000,-0.00417,-0.00253
2.60000,-0.00434,-0.00231
2.70000,-0.00450,-0.00154
2.80000,-0.00467,-0.00295
2.90000,-0.00485,-0.00590
3.00000,-0.00501,-0.00732
3.10000,-0.00517,-0.00296
3.20000,-0.00535,-0.00343
3.30000,-0.00551,-0.00489
3.40000,-0.00568,-0.00104
3.50000,-0.00585,-0.00048
3.60000,-0.00602,-0.00212
3.70000,-0.00619,-0.00332
3.80000,-0.00635,-0.00900
3.90000,-0.00652,-0.00266
4.00000,-0.00669,-0.00314
4.10000,-0.00686,-0.00191
4.20000,-0.00703,-0.00153
4.30000,-0.00720,-0.00206
4.40000,-0.00736,-0.00313
4.50000,-0.00752,-0.00230
4.60000,-0.00770,-0.00426
4.70000,-0.00786,-0.00869
4.80000,-0.00803,-0.00256
4.90000,-0.00819,-0.00087
5.00000,-0.00836,0.00000
5.10000,-0.00853,-0.00295
5.20000,-0.00870,-0.00361
5.30000,-0.00887,-0.00051
5.40000,-0.00905,-0.00531
5.50000,-0.00921,-0.00264
5.60000,-0.00938,-0.00561
5.70000,-0.00953,-0.00361
5.80000,-0.00970,-0.00030
5.90000,-0.00987,-0.00477
6.00000,-0.01004,0.00044
6.10000,-0.01020,-0.00184
6.20000,-0.01037,0.00039
6.30000,-0.01053,0.00009
6.40000,-0.01070,-0.00531
6.50000,-0.01087,-0.00735
6.60000,-0.01104,-0.00367
6.70000,-0.01120,-0.00229
6.80000,-0.01137,-0.00126
6.90000,-0.01152,-0.00264
7.00000,-0.01170,-0.00460
7.10000,-0.01186,-0.00111
7.20000,-0.01203,-0.00303
7.30000,-0.01219,-0.00442
7.40000,-0.01236,-0.00765
7.50000,-0.01253,-0.00684
7.60000,-0.01270,-0.00289
7.70000,-0.01287,-0.00172
7.80000,-0.01303,-0.00216
7.90000,-0.01320,-0.00097
8.00000,-0.01336,0.00167
8.10000,-0.01353,-0.00272
8.20000,-0.01370,-0.00744
8.30000,-0.01386,-0.00716
8.40000,-0.01403,-0.00331
8.50000,-0.01419,-0.00304
8.60000,-0.01435,-0.00124
8.70000,-0.01452,-0.00308
8.80000,-0.01469,-0.00273
8.90000,-0.01486,-0.00091
9.00000,-0.01502,0.00078
9.10000,-0.01519,-0.00463
9.20000,-0.01536,-0.00760
9.30000,-0.01552,0.00015
9.40000,-0.01569,-0.00429
9.50000,-0.01585,-0.00066
9.60000,-0.01602,-0.00270
9.70000,-0.01618,-0.00072
9.80000,-0.01635,-0.00018
9.90000,-0.01652,0.00020
10.00000,-0.01668,-0.00457
10.10000,-0.01686,-0.01008
10.20000,-0.01702,-0.00586
10.30000,-0.01719,0.00000
10.40000,-0.01735,-0.00139
10.50000,-0.01752,-0.00083
10.60000,-0.01769,-0.00220
10.70000,-0.01785,0.00080
10.80000,-0.01802,-0.00224
10.90000,-0.01818,-0.00778
11.00000,-0.01835,-0.00807
11.10000,-0.01851,-0.00055
11.20000,-0.01868,-0.00129
11.30000,-0.01885,-0.00319
11.40000,-0.01902,-0.00242
11.50000,-0.01919,-0.00080
11.60000,-0.01936,-0.00334
11.70000,-0.01952,-0.00351
11.80000,-0.01969,-0.00546
11.90000,-0.01985,-0.00435
12.00000,-0.02002,-0.00345
12.10000,-0.02018,-0.00243
12.20000,-0.02035,-0.00164
12.30000,-0.02052,-0.00180
12.40000,-0.02068,-0.00178
12.50000,-0.02086,-0.00393
12.60000,-0.02102,0.00006
12.70000,-0.02119,-0.00445
12.80000,-0.02136,-0.01114
12.90000,-0.02152,-0.00301
