travel,force
0.026826087,11.95820618
0.026907627,11.98945618
0.026988689,12.02070618
0.027070228,12.05158997
0.027154628,12.08235168
0.027236167,12.1131134
0.02731723,12.14375305
0.027398769,12.17451477
0.027483169,12.20527649
0.027567092,12.23628235
0.02764577,12.26741028
0.027730171,12.29866028
0.027814571,12.32991028
0.027895633,12.36140442
0.027980033,12.39289856
0.028064433,12.42488098
0.028148357,12.45661926
0.028232757,12.48860168
0.028317157,12.52082825
0.028401557,12.55305481
0.02848262,12.58503723
0.02856702,12.61726379
0.028648559,12.64924622
0.028730098,12.68122864
0.02881116,12.71321106
0.0288927,12.74494934
0.0289771,12.77668762
0.029058162,12.8084259
0.029139701,12.84016418
0.02922124,12.87165833
0.029305164,12.90339661
0.029386703,12.93513489
0.029471103,12.96687317
0.029552165,12.99861145
0.029639427,13.03059387
0.029723827,13.06257629
0.029808227,13.09480286
0.029889766,13.12678528
0.029973689,13.1587677
0.03005809,13.19099426
0.03014249,13.22322083
0.030229751,13.25544739
0.030313674,13.28767395
0.030398075,13.32014465
0.030485336,13.35237122
0.030566875,13.38435364
0.030650798,13.4165802
0.030735198,13.44856262
0.030816738,13.4803009
0.030901138,13.51203918
0.0309822,13.54377747
0.031063739,13.57551575
0.031148139,13.60700989
0.031229202,13.63825989
0.031310741,13.66975403
0.031395141,13.70124817
0.031479541,13.73298645
0.031557743,13.76448059
0.031645004,13.79621887
0.031726543,13.82795715
0.031810466,13.85969543
0.031892005,13.89167786
0.031979267,13.92366028
0.032063667,13.9556427
0.032144729,13.98762512
0.032229129,14.0193634
0.03231639,14.05110168
0.03239793,14.08283997
0.032485191,14.11433411
0.032566253,14.14582825
0.032647792,14.17707825
0.032729331,14.20832825
0.032813255,14.23933411
0.032894794,14.2702179
0.032976333,14.30122375
0.033060256,14.33210754
0.033141796,14.3631134
0.033223335,14.39411926
0.033307735,14.42536926
0.033391658,14.45649719
0.033476058,14.48774719
0.03356332,14.51924133
0.03364772,14.55049133
0.033731643,14.58198547
0.033816043,14.61347961
0.033900443,14.64497375
0.033981983,14.67622375
0.034065906,14.7077179
0.034150306,14.7389679
0.034237567,14.7702179
0.034321968,14.80171204
0.034406368,14.83283997
0.034490291,14.8639679
0.034577552,14.89509583
0.034661952,14.92622375
0.034743492,14.95722961
0.034827415,14.98823547
0.034908954,15.01924133
0.034993354,15.05012512
0.035074417,15.08088684
0.035155956,15.11177063
0.035240356,15.14277649
0.035321895,15.17366028
0.035402957,15.20454407
0.035487358,15.23542786
0.035571758,15.26631165
0.035655681,15.29707336
0.03573722,15.32771301
0.035818759,15.35835266
0.03590316,15.38899231
0.035981361,15.41950989
0.036065761,15.45002747
0.0361473,15.48017883
0.036231223,15.5103302
0.036312763,15.5403595
0.036397163,15.57026672
0.036478225,15.60029602
0.036559764,15.63020325
0.036641303,15.66011047
0.036722366,15.6900177
0.036803905,15.71980286
0.036888305,15.74958801
0.036969844,15.77949524
0.037050907,15.80940247
0.037135307,15.83943176
0.037216846,15.86946106
0.037300769,15.89949036
0.037382308,15.92951965
0.037466709,15.95954895
0.037547771,15.98957825
0.037635032,16.01960754
0.037716571,16.04963684
0.037803832,16.07978821
0.037888233,16.1098175
0.037972156,16.13996887
0.038053695,16.17012024
0.038140956,16.20027161
0.038222495,16.23042297
0.03830928,16.26045227
0.03839368,16.29060364
0.038475219,16.32063293
0.038559619,16.35054016
0.038640682,16.38032532
0.038725082,16.40974426
0.038806621,16.43916321
0.038890544,16.46821594
0.038972083,16.49702454
0.039053623,16.52571106
0.039134685,16.55403137
0.039216224,16.58210754
0.039300624,16.6098175
0.039382163,16.63728333
0.039466087,16.66413879
0.039547626,16.69026184
0.039632026,16.7155304
0.039713088,16.73872375
0.039797489,16.75874329
0.039879028,16.7726593
0.039963428,16.77294159
0.040047351,16.76451874
0.040131751,16.75267792
0.040216152,16.73931122
0.040300552,16.72527313
0.040384475,16.71111298
0.040468875,16.69738007
0.040550414,16.6852951
0.040634815,16.67620087
0.040715877,16.672966
0.040797416,16.68328094
0.040878955,16.70244598
0.040962879,16.72527313
0.041044418,16.74993134
0.041128818,16.77581024
0.041213218,16.80266571
0.041297141,16.83037567
0.041381542,16.85845184
0.041465942,16.88713837
0.041550342,16.9161911
0.041631404,16.94573212
0.041718666,16.97551727
0.041803066,17.00566864
0.041890327,17.03582001
0.041977588,17.06597137
0.042064372,17.09612274
0.042151634,17.12627411
0.042236034,17.15642548
0.042320434,17.18657684
0.042407695,17.21648407
0.042491619,17.24626923
0.042576019,17.27593231
0.042657558,17.30547333
0.042741958,17.33501434
0.04282302,17.36467743
0.04290456,17.39434052
0.04298896,17.42412567
0.04307336,17.45378876
0.043157283,17.48357391
0.043238822,17.51335907
0.043323223,17.5432663
0.043407146,17.57317352
0.043488685,17.60308075
0.043573085,17.63274384
0.043654624,17.23235321
